Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
Materials for the Arts,Facebook,https://www.facebook.com/mftanyc,12/12/2012 12:00:00 AM,
MOAE,Facebook,http://www.facebook.com/pages/You-Can-Too/203525729692056,12/12/2012 12:00:00 AM,10
MOIA,Facebook,http://www.facebook.com/pages/WE-ARE-NEW-YORK/174438697072,12/12/2012 12:00:00 AM,
MOME,Facebook,http://www.facebook.com/NYCMINY,12/12/2012 12:00:00 AM,
NYC Gov,Facebook,http://www.facebook.com/nycgov,12/12/2012 12:00:00 AM,
NYCCFB,Facebook,http://www.facebook.com/nycvotes,12/12/2012 12:00:00 AM,
NYPD,Facebook,https://www.facebook.com/NYPD,12/12/2012 12:00:00 AM,
DRIS,Facebook,http://www.facebook.com/NycDeptOfRecords,12/12/2012 12:00:00 AM,
DRIS,Facebook,http://www.facebook.com/MayorEdKochNYCRecords,12/12/2012 12:00:00 AM,
DRIS,Facebook,http://www.facebook.com/MayorJohnLindsayNYCRecords,12/12/2012 12:00:00 AM,
DRIS,Facebook,http://www.facebook.com/MayorFiorelloLaGuardiaNYCRecords,12/12/2012 12:00:00 AM,
LMEC,Flickr,http://www.facebook.com/pages/New-York-NY/Latin-Media-and-Entertainment-Week/122259604487271,12/12/2012 12:00:00 AM,216
DEP,Flickr,http://www.flickr.com/photos/nycep,12/12/2012 12:00:00 AM,
DOB,Flickr,http://www.flickr.com/photos/nyc_buildings/,12/12/2012 12:00:00 AM,
DOE,Flickr,http://www.flickr.com/photos/nycschools,12/12/2012 12:00:00 AM,
DOITT,Flickr,http://www.flickr.com/photos/nyc_doitt,12/12/2012 12:00:00 AM,
DOT,Flickr,http://www.flickr.com/photos/nycstreets,12/12/2012 12:00:00 AM,
DPR,Flickr,http://www.flickr.com/photos/nycparks/,12/12/2012 12:00:00 AM,
DSNY,Flickr,http://flickr.com/nycrecyclemore,12/12/2012 12:00:00 AM,
EDC,Flickr,http://www.flickr.com/nycedc,12/12/2012 12:00:00 AM,
FDNY,Flickr,http://www.flickr.com/groups/fdny-ems,12/12/2012 12:00:00 AM,
HHC,Flickr,http://www.flickr.com/hhcnyc,12/12/2012 12:00:00 AM,
LMEC,Flickr,http://www.flickr.com/photos/nyclatinmedia/,12/12/2012 12:00:00 AM,
LPC,Flickr,http://www.flickr.com/photos/nyclandmarks,12/12/2012 12:00:00 AM,
Materials for the Arts,Flickr,http://www.flickr.com/photos/materialsforthearts,12/12/2012 12:00:00 AM,
Mayor's Office,Flickr,http://www.flickr.com/photos/nycmayorsoffice/,12/12/2012 12:00:00 AM,
NYC Digital,Flickr,http://www.flickr.com/photos/nycdigital/,12/12/2012 12:00:00 AM,
NYCHA,Flickr,http://www.flickr.com/photos/nychapics,12/12/2012 12:00:00 AM,
PlaNYC,Flickr,http://www.flickr.com/photos/planyc/,12/12/2012 12:00:00 AM,
